7.1,3.0,5.9,21 mm,Iris-virginica
6.3,2.9,5.6,18 mm,Iris-virginica
6.5,3.0,5.8,22 mm,Iris-virginica
7.6,3.0,6.6,21 mm,Iris-virginica
4.9,2.5,4.5,17 mm,Iris-virginica
7.3,2.9,6.3,18 mm,Iris-virginica
6.7,2.5,5.8,18 mm,Iris-virginica
7.2,3.6,6.1,25 mm,Iris-virginica
6.5,3.2,5.1,20 mm,Iris-virginica
6.4,2.7,5.3,19 mm,Iris-virginica
6.8,3.0,5.5,21 mm,Iris-virginica
5.7,2.5,5.0,20 mm,Iris-virginica
5.8,2.8,5.1,24 mm,Iris-virginica
6.4,3.2,5.3,23 mm,Iris-virginica
6.5,3.0,5.5,18 mm,Iris-virginica
7.7,3.8,6.7,22 mm,Iris-virginica
7.7,2.6,6.9,23 mm,Iris-virginica
6.0,2.2,5.0,15 mm,Iris-virginica
6.9,3.2,5.7,23 mm,Iris-virginica
5.6,2.8,4.9,20 mm,Iris-virginica
7.7,2.8,6.7,20 mm,Iris-virginica
6.3,2.7,4.9,18 mm,Iris-virginica
6.7,3.3,5.7,21 mm,Iris-virginica
7.2,3.2,6.0,18 mm,Iris-virginica
6.2,2.8,4.8,18 mm,Iris-virginica
6.1,3.0,4.9,18 mm,Iris-virginica
6.4,2.8,5.6,21 mm,Iris-virginica
7.2,3.0,5.8,16 mm,Iris-virginica
7.4,2.8,6.1,19 mm,Iris-virginica
7.9,3.8,6.4,20 mm,Iris-virginica
6.4,2.8,5.6,22 mm,Iris-virginica
6.3,2.8,5.1,15 mm,Iris-virginica
6.1,2.6,5.6,14 mm,Iris-virginica
7.7,3.0,6.1,23 mm,Iris-virginica
6.3,3.4,5.6,24 mm,Iris-virginica
6.4,3.1,5.5,18 mm,Iris-virginica
6.0,3.0,4.8,18 mm,Iris-virginica
6.9,3.1,5.4,21 mm,Iris-virginica
6.7,3.1,5.6,24 mm,Iris-virginica
6.9,3.1,5.1,23 mm,Iris-virginica
58,2.7,5.1,19 mm,Iris-virginica
6.8,3.2,5.9,23 mm,Iris-virginica
6.7,3.3,5.7,25 mm,Iris-virginica
6.7,3.0,5.2,23 mm,Iris-virginica
6.3,2.5,5.0,19 mm,Iris-virginica
6.5,3.0,5.2,20 mm,Iris-virginica
6.2,3.4,5.4,23 mm,Iris-virginica
5.9,3.0,5.1,18 mm,Iris-virginica
